"Your order has been placed succesfully.","uw bestelling is succesvol geplaatst."
"Your payment was unsuccesful. Please try again or choose another payment method.","Uw bestelling was onsuccesvol. probeer het s.v.p. opnieuw of kies een andere betaalmethode."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Er is een technische fout opgetreden. Indien deze fout zich nogmaals voordoet, neem dan s.v.p. contact op met de eigenaar van de webwinkel."
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","uw bestelling is succesvol geplaatst. u ontvangt binnen enkele minuten een e-mail met verdere betaalinstructies."
"We are currently unable to retrieve the status of your transaction. If you do not recieve an e-mail regarding your order within 30 minutes, please contact the shop owner.","momenteel is de status van uw betaling onbekend. Indien u binnen 30 minuten geen verder informatie ontvangt m.b.t. uw bestelling, neem dan s.v.p. contact op met de eigenaar van de webwinkel."
"Buckaroo attempted to update this order after it already had ","Buckaroo heeft geprobeerd deze betselling te updaten nadat deze al"
" state, by sending the following: "," staat had, door het volgende te sturen: "
"Not enough paid: ","Niet genoeg betaald: "
" has been transfered. Order grand total was: "," is overgemaakt. order totaal bedrag was: "
"Too much paid: ","Te veel betaald: "
"-- Please Select --","-- Selecteer a.u.b. --"
"all","all"
"American Express","American Express"
"Eenmalige Machtiging","Eenmalige Machtiging"
"Giropay","Giropay"
"iDeal","iDeal"
"Mastercard","Mastercard"
"Online Giro","Online Giro"
"PayPal","PayPal"
"Paysafecard","Paysafecard"
"Sofort Banking","Sofort Banking"
"Overboeking","Overboeking"
"Visa","Visa"
"Test","Test"
"Live","Live"

"These options only apply to this specific payment option. Other payment options are not affected.","Deze opties beïnvloeden enkel deze specifieke betaalmethode. Andere betaalmethodes worden niet beïnvloedt."
"You are using Buckaroo 3 Extended Payment Module version ","U maakt gebruik van Buckaroo 3 Extended betaal module versie "
"Looking for Buckaroo payment methods? We have our own tab to the left under Sales.","Op zoek naar Buckaroo betaalmethodes? Wij hebben onze eigen tab links onder Sales."
"You have successfully uploaded your Buckaroo private key certificate! You can use the form below to upload a replacement.","u heeft succesvol uw Buckaroo Private Key geüploaded. gebruik het onderstaande formulier om een vervangend certificaat te uploaden."
"You have not yet uploaded a Buckaroo private key certificate. Please use the form below to do so.","U heeft nog geen Buckaroo private Key certificaat toegevoegd. Gebruik onderstaand formulier om een certificaat bestand te uploaden."
"These options are only intended for expert users. Tampering with the default settings may negatively affect the workflow and performance of all Buckaroo payment methods. Use at your own risk.","Deze opties zijn enkel voor geavanceerde gebruikers. Het aanpassen van deze instellingen kan negatieve gevolgen hebben voor de werking van Buckaroo betaalmethodes. Het aanpassen van deze instellingen is op eigen risico."

"You will be redirected to our payment service provider to process your payment.","U wordt naar de betalingsprovider doorgestuurd om uw betaling te voldoen."
"Account name","Bankrekening naam"
"Account number","Bankrekening nummer"
"Please enter your Bankleitzahl.","Vul s.v.p. uw Bankleitzahl in."
"You will be redirected to the iDEAL page of your chosen bank when you place your order.","U wordt naar de iDEAL betaalpagina van de door u gekozen bank doorgestuurd wanneer u uw bestelling plaatst."
"Please, choose your bank:","Selecteer s.v.p. uw bank:"
"You will receive an email with further payment instructions when you place your order.","U ontvangt een e-mail met verdere betaalinstructies na het plaatsen van uw betselling."
"unknown","onbekend"
"Mr.","Mr."
"Mrs.","Mevr."
"This information, combined with the information filled out in the billing information step, will be used for a credit check by Buckaroo Payment Services. Please make sure all fields are filled in correctly before proceeding.","Deze informatie zal samen met de eerder door u ingevulde informatie, gebruikt worden voor een kredietwaardigheidscontrolle. Controleer a.u.b. alle gegevens zorgvuldig voordat u verder gaat."
"Name","Naam"
"Bank account","Bankrekening nummer"
"Date of Birth","Geboortedatum"
"You will be redirected to the PayPal website when you place your order.","U wordt doorgestuurd naar de betaalpagina van PayPal wanneer u uw bestelling plaatst."
"E-mail","E-mail"
"You will be redirected to the Paysafecard website when you place your order.","U wordt doorgestuurd naar de betaalpgina van Paysafecard wanneer u uw bestelling plaatst."
"You will be redirected to the Sofort banking website when you place your order.","U wordt doorgestuurd naar de betaalpgina van Sofortbanking wanneer u uw bestelling plaatst."

"Buckaroo 3 Extended Basic Configuration","Buckaroo 3 Extended Basis Configuratie"
"Upload your Buckaroo private key certificate","Upload uw Buckaroo Private Key certificaat"
"Enabled","Aan"
"Display Buckaroo payment methods only for selected IP's?","Toon Buckaroo betaalmethodes enkel voor specifieke IP-adressen?"
"Merchant key","Merchant key"
"Digital signature","Digital signature"
"Thumbprint","Thumbprint"
"Mode","Modus"
"Payment description","Betalings omschrijving"
"Order status 'success'","Order status 'success'"
"Order status 'failed'","Order status 'failure'"
"Order status 'pending payment'","Order status 'pending payment'"
"Success redirect","Success redirect"
"Failure redirect","Failure redirect"
"Should the module manually empty the shopping cart after a successful payment?","Dient de module handmatig het winkelmandje te legen na een succesvolle betaling?"
"Buckaroo 3 extended Advanced Options","Buckaroo 3 extended Geavanceerde Instellingen"
"New order status","Nieuwe order status"
"Auto invoice","Automatische facturering"
"Send an invoice mail?","Verstuur de factuur e-mail?"
"Debug email","Debug e-mail"
"Display order updates after order has been processed","Toon order updates nadat een order verwerkt is?"
"Cancel on failed","Annuleer na mislukte betaling"
"Buckaroo 3 extended iDEAL","Buckaroo 3 extended iDEAL"
"Modus","Modus"
"Display this payment method only for selected IP's?","Toon deze betaalmethode enkel voor geslecteerde IP-adressen?"
"Label","Label"
"Payment from Applicable Countries","Betaling vanuit toegestane landen"
"Payment from Specific Country","Betaling vanuit geselecteerde landen"
"Sort Order","Sorteer volgorde"
"Allowed currencies","Toegestane valuta"
"Buckaroo 3 extended Achteraf Betalen","Buckaroo 3 extended Achteraf Betalen"
"Max amount (in euro)","Maximaal toegestande bedrag (in euro)"
"Number of days before invoice.","Dagen voor facturatie"
"Send email","verstuur e-mail"
"Allowed payment methods","Toegestande betaalmethodes"
"Buckaroo 3 extended Paysafecard","Buckaroo 3 extended Paysafecard"
"Buckaroo 3 extended Visa","Buckaroo 3 extended Visa"
"Buckaroo 3 extended Sofortbanking","Buckaroo 3 extended Sofortbanking"
"Buckaroo 3 extended American Express","Buckaroo 3 extended American Express"
"Buckaroo 3 extended Mastercard","Buckaroo 3 extended Mastercard"
"Buckaroo 3 extended Giropay","Buckaroo 3 extended Giropay"
"Buckaroo 3 extended directdebit","Buckaroo 3 extended directdebit"
"Buckaroo 3 extended OnlineGiro","Buckaroo 3 extended OnlineGiro"
"Buckaroo 3 extended Overschrijving","Buckaroo 3 extended Overschrijving"
"E-mail language","E-mail taal"
"Invoice Date (in days)","Facturatie datum (in days)"
"Due Date (in days)","Dagen voor betaling (in days)"
"Should Buckaroo send an email with details regarding the transfer?","Moet Buckaroo een e-mail versturen met verdere betaal instructies?"
"Buckaroo 3 extended PayPal","Buckaroo 3 extended PayPal"
"Buckaroo 3 extended PayPerEmail","Buckaroo 3 extended PayPerEmail"

"Enable or disable Buckaroo","Zet de Buckaroo module aan of uit."
"This is useful to test Buckaroo before customers have a chance to use it.","Dit is nuttig om de Buckaroo module te testen voordat klanten er gebruik van kunnen maken."
"Enter you Buckaroo merchant key.","Vul uw Buckaroo merchant key in."
"Enter you Buckaroo digital signature.","Vul uw Buckaroo digitale handtekening in."
"Beware that test orders will still appear in Buckaroo Plaza as regular orders","Pas op: test orders verschijnen in Payment Plaza als reguliere orders."
"This description will appear with orders in Buckaroo Plaza","Deze omschrijving zal vrschijnen in Payment Plaza"
"Successful orders will have this status in the back-end.","Succesvolle orders zullen deze status krijgen."
"Unsuccessful orders will have this status when viewed in the back-end.","Mislukte orders zullen deze status krijgen."
"Orders which are awaiting payment will have this status when viewed in the back-end.","Orders die in afwachting van betaling zijn, zullen deze status krijgen."
"Some modules and Magento settings can cause the cart to stay filled after checkout. Setting this option to 'yes' will tell the module to manually empty the cart when an order has been places successfully.","Sommige modules en Magento instellingen kunnen ervoor zorgen dat het winkelmandje gevuld blijft na een succesvolle betaling. Deze optie maakt het mogelijk dat de module het winkelmandje automatisch leegt na een succesvolle betaling."
"This status will be given to newly placed orders.","Deze status krijgen nieuwe orders."
"Whether successfully paid orders should be invoiced automatically.","Dit zorgt ervoor dat succesvolle orders automatisch gefactureerd worden."
"Should an invoice email be sent automatically?","Dient de factuur e-mail automatisch verstuurd te worden?"
"Beware that entering your email address here can quickly fill up your inbox. We recommend you only enter an email address here for a short period of time.","Pas op: als u uw e-mail adres invult, kan uw e-mail inbox snel vollopen."
"Display order updates after the order has received canceled, complete, success, holded or closed state.","Toon order updates voor orders die al processing, closed, complete of cancelled state hebben."
"Enable or disable only this payment option.","Activeer of deactiveer deze betaalmthode."
"Beware that test orders will still appear in Buckaroo Plaza as regular orders. Setting this to 'Test' will also force 'Display only for certain IP-addresses' to 'yes'.","Pas op: test orders verschijnen in Payment Plaza als reguliere orders."
"This will determine the label of the payment method as it appears to customers.","Dit bepaalt de title van de betaalmethode zoals deze aan de klant getoond wordt."
"Only available if 'Payment from applicable countries' is set to 'specific countries'.","Enkel beschikbaar als 'Betaling vanuit toegestane landen' op specifiek is gezet."
"Successful orders will have this status in the back-end. Leave empty to use the status defined in Buckaroo 3 extended Config.","Laat leeg om de status die onder basis instellingen is geslecteerd te gebruiken."
"Unsuccessful orders will have this status when viewed in the back-end. Leave empty to use the status defined in Buckaroo 3 extended Config.","Laat leeg om de status die onder basis instellingen is geslecteerd te gebruiken."
"This determines the order in which payment options will appear to the customer.","Dit bepaalt de volgorde waarin betaalmethodes aan de klant worden getoond."
"Select which currencies can be used with this payment method","Selecteer welke valuta gebruikt kunnen worden met deze betaalmthode."
"Maximum amount which can be paid using this payment option.","Maximale bedrag waarbij deze betaalmethode beschikbaar is."
